Age,Gender,Branch,Average GPA,Backlogs,Attendance (%),Clubs,Skills,Internship Done,Internship Domain,Placement Status,Placement Domain,CTC (LPA),Alumni Path,Sem1 GPA,Sem2 GPA,Sem3 GPA,Sem4 GPA,Sem5 GPA,Sem6 GPA,Sem7 GPA,Sem8 GPA,Skill_Count,Club_Count
21.0,Male,MECH,6.99,0.0,70.45,"Literary Society, Robotics","C++, Machine Learning, Python, Java",1,Consulting,0.0,Unknown,0.0,Unknown,8.34,5.24,6.06,7.81,7.18,7.04,8.26,5.99,4,2
19.0,Male,ECE,6.46,0.0,65.45,"Literary Society, Coding Club","C++, SQL, Web Development",0,Unknown,0.0,Unknown,0.0,Unknown,7.37,6.37,6.45,5.99,6.55,6.99,6.46,5.52,3,2
19.0,Female,CIVIL,7.08,0.0,84.79,Literary Society,"Data Science, SQL, Machine Learning",1,Research,0.0,Unknown,0.0,Unknown,5.79,8.82,7.03,6.92,7.67,6.01,7.75,6.62,3,1
23.0,Male,ECE,6.92,2.0,62.26,"Coding Club, Entrepreneurship Cell","Python, SQL, Java",0,Unknown,1.0,Core Engineering,5.89,Research,7.9,4.26,8.19,7.52,8.32,6.8,4.94,7.43,3,2
20.0,Male,EEE,7.09,0.0,97.12,Robotics,"C++, SQL, Java, Python",1,Higher Studies,0.0,Unknown,0.0,Unknown,6.86,6.24,7.64,7.15,5.91,6.18,8.19,8.54,4,1
19.0,Male,MECH,7.36,0.0,62.56,Sports Club,"SQL, Python",1,Research,1.0,Higher Studies,6.05,Startup,5.44,9.08,8.13,8.46,7.03,6.64,6.33,7.81,2,1
18.0,Female,MECH,7.06,2.0,82.62,"Entrepreneurship Cell, Robotics, Cultural Club","Web Development, C++, Machine Learning",0,Unknown,0.0,Unknown,0.0,Unknown,7.12,7.23,8.52,7.29,8.39,6.22,5.4,6.35,3,3
23.0,Male,IT,6.67,0.0,97.72,"Literary Society, Cultural Club, Sports Club","C++, Java, Web Development, SQL, Python",1,Software,1.0,Higher Studies,8.49,Higher Studies,6.74,6.63,8.27,6.71,4.34,7.35,6.6,6.71,5,3
18.0,Male,EEE,7.34,1.0,74.15,"Entrepreneurship Cell, Literary Society, Cultural Club","Python, SQL, C++, Web Development, Java",0,Unknown,0.0,Unknown,0.0,Unknown,7.91,6.08,7.71,5.67,9.76,6.78,6.68,8.14,5,3
18.0,Male,CSE,7.19,0.0,76.12,"Coding Club, Literary Society, Sports Club","Machine Learning, Data Science, Python, SQL, C++",1,Consulting,0.0,Unknown,0.0,Unknown,7.08,6.9,7.92,6.71,7.27,7.32,6.33,7.99,5,3
23.0,Female,EEE,7.17,1.0,73.88,Coding Club,"C++, Python, Machine Learning",1,Hardware,1.0,Higher Studies,15.54,Research,9.54,7.52,6.41,6.87,8.07,6.42,7.85,4.68,3,1
23.0,Female,CSE,7.33,2.0,91.85,Literary Society,"C++, SQL, Web Development, Java",1,Consulting,0.0,Unknown,0.0,Unknown,8.31,7.86,6.03,7.36,8.96,5.18,6.81,8.16,4,1
23.0,Female,CIVIL,7.5,1.0,99.1,"Coding Club, Robotics, Sports Club","Java, Python, Web Development, Data Science, C++",0,Unknown,1.0,Research,17.51,Job,6.68,7.02,6.66,5.36,8.09,7.9,8.99,9.28,5,3
